Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,2.950000,3.195000,2.950000,3.110000,3.110000,12506600
2022-10-26,3.055000,3.210000,3.050000,3.140000,3.140000,10003800
2022-10-27,3.180000,3.220000,3.030000,3.070000,3.070000,6402000
2022-10-28,3.070000,3.230000,3.035000,3.200000,3.200000,6419800
2022-10-31,3.200000,3.810000,3.175000,3.790000,3.790000,22234200
2022-11-01,3.900000,3.970000,3.380000,3.400000,3.400000,14433600
2022-11-02,3.400000,3.530000,3.290000,3.300000,3.300000,9487500
2022-11-03,3.400000,3.690000,2.930000,2.940000,2.940000,32296800
2022-11-04,3.030000,3.060000,2.850000,2.960000,2.960000,15218800
2022-11-07,2.999000,3.025000,2.820000,2.860000,2.860000,15505900
2022-11-08,2.920000,2.980000,2.790000,2.820000,2.820000,14909500
2022-11-09,2.780000,2.790000,2.520000,2.560000,2.560000,14410500
2022-11-10,2.790000,2.790000,2.640000,2.740000,2.740000,18513300
2022-11-11,2.730000,3.000000,2.640000,2.970000,2.970000,12825400
2022-11-14,2.970000,3.130000,2.830000,3.080000,3.080000,10610000
2022-11-15,3.180000,3.200000,2.960000,3.080000,3.080000,14863200
2022-11-16,3.000000,3.050000,2.885000,2.990000,2.990000,8398100
2022-11-17,2.900000,2.920000,2.810000,2.870000,2.870000,8974200
2022-11-18,2.940000,2.940000,2.710000,2.740000,2.740000,9529000
2022-11-21,2.710000,2.710000,2.500000,2.530000,2.530000,15668400
2022-11-22,2.540000,2.550000,2.270000,2.300000,2.300000,18238900
2022-11-23,2.300000,2.430000,2.280000,2.380000,2.380000,8403600
2022-11-25,2.420000,2.430000,2.350000,2.390000,2.390000,2976200
2022-11-28,2.355000,2.390000,2.290000,2.310000,2.310000,5497300
2022-11-29,2.320000,2.400000,2.310000,2.350000,2.350000,4795300
2022-11-30,2.360000,2.620000,2.360000,2.620000,2.620000,10664700
2022-12-01,2.660000,2.700000,2.470000,2.600000,2.600000,8952000
2022-12-02,2.550000,2.895000,2.510000,2.850000,2.850000,9587000
2022-12-05,2.910000,2.920000,2.640000,2.670000,2.670000,7404300
2022-12-06,2.660000,2.670000,2.460000,2.460000,2.460000,7484500
